DateTime,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SYMBOL
2019-03-07,22.3500,23.1499,22.0500,22.3100,22.3100,9212390,0.0000,1.0000,CRON
2019-03-06,23.2700,24.3700,22.0100,22.7900,22.7900,15848223,0.0000,1.0000,CRON
2019-03-05,21.1400,23.9400,21.0200,23.7000,23.7000,20790448,0.0000,1.0000,CRON
2019-03-04,21.6900,22.0000,20.6700,21.4600,21.4600,9932478,0.0000,1.0000,CRON
2019-03-01,22.0200,22.2700,21.5100,21.7100,21.7100,7982446,0.0000,1.0000,CRON
2019-02-28,21.4400,22.2300,21.1603,21.6400,21.6400,10281525,0.0000,1.0000,CRON
2019-02-27,21.5900,21.7700,20.7000,21.3300,21.3300,10527537,0.0000,1.0000,CRON
2019-02-26,19.8200,21.9100,19.5000,21.6400,21.6400,17948105,0.0000,1.0000,CRON
2019-02-25,21.2000,21.4000,20.1600,20.2500,20.2500,15437637,0.0000,1.0000,CRON
2019-02-22,22.8300,22.9600,21.1400,21.9200,21.9200,18080750,0.0000,1.0000,CRON
2019-02-21,22.3400,22.9569,22.2300,22.4700,22.4700,12479212,0.0000,1.0000,CRON
2019-02-20,21.6000,22.4900,21.4600,22.2300,22.2300,16279068,0.0000,1.0000,CRON
2019-02-19,21.1000,21.9800,21.0400,21.6100,21.6100,12273068,0.0000,1.0000,CRON
2019-02-15,21.4600,21.8400,20.8500,21.2900,21.2900,16070346,0.0000,1.0000,CRON
2019-02-14,20.3000,20.9600,20.1900,20.8200,20.8200,13966324,0.0000,1.0000,CRON
2019-02-13,20.0500,20.7800,19.6800,20.4500,20.4500,17285464,0.0000,1.0000,CRON
2019-02-12,19.0000,20.5900,18.8600,19.6700,19.6700,24418623,0.0000,1.0000,CRON
2019-02-11,20.2300,20.4400,19.2600,19.4400,19.4400,23051380,0.0000,1.0000,CRON
2019-02-08,21.6200,22.0500,19.4300,19.5500,19.5500,30898104,0.0000,1.0000,CRON
2019-02-07,19.0000,21.4400,18.7200,21.4200,21.4200,36940165,0.0000,1.0000,CRON
2019-02-06,20.8000,21.6000,19.3100,19.6500,19.6500,32503892,0.0000,1.0000,CRON
2019-02-05,22.3500,23.9600,20.5600,21.8300,21.8300,55485179,0.0000,1.0000,CRON
2019-02-04,21.8200,25.1000,21.3000,23.2500,23.2500,67620336,0.0000,1.0000,CRON
2019-02-01,20.2500,21.7900,20.1000,20.8100,20.8100,48676298,0.0000,1.0000,CRON
2019-01-31,18.6500,20.3500,18.3800,19.6800,19.6800,29701695,0.0000,1.0000,CRON
2019-01-30,18.1400,19.2000,17.6703,18.4300,18.4300,22137670,0.0000,1.0000,CRON
2019-01-29,18.4800,19.4800,17.3300,18.1500,18.1500,42470992,0.0000,1.0000,CRON
2019-01-28,16.0100,18.5500,15.7300,18.4800,18.4800,35951792,0.0000,1.0000,CRON
2019-01-25,16.2000,16.3000,15.4600,16.0200,16.0200,14670737,0.0000,1.0000,CRON
2019-01-24,14.4300,15.7500,14.4200,15.7000,15.7000,12830490,0.0000,1.0000,CRON
2019-01-23,15.3100,15.4800,14.0900,14.7200,14.7200,12729117,0.0000,1.0000,CRON
2019-01-22,15.2000,16.0700,14.8100,15.0700,15.0700,21302821,0.0000,1.0000,CRON
2019-01-18,13.9700,15.1900,13.9400,14.9000,14.9000,23020837,0.0000,1.0000,CRON
2019-01-17,13.3400,13.9100,13.1300,13.6600,13.6600,5803461,0.0000,1.0000,CRON
2019-01-16,13.1600,13.4900,12.9207,13.4200,13.4200,5305480,0.0000,1.0000,CRON
2019-01-15,13.8500,13.9500,12.7500,13.0500,13.0500,9462156,0.0000,1.0000,CRON
2019-01-14,13.6500,14.1500,13.5000,13.7600,13.7600,9570581,0.0000,1.0000,CRON
2019-01-11,13.0400,13.9900,12.8900,13.6700,13.6700,10385762,0.0000,1.0000,CRON
2019-01-10,12.9300,13.5400,12.5900,13.0600,13.0600,9848046,0.0000,1.0000,CRON
2019-01-09,12.3100,13.0500,12.2100,12.9800,12.9800,7436759,0.0000,1.0000,CRON
2019-01-08,12.5700,12.7200,12.1600,12.3600,12.3600,6035089,0.0000,1.0000,CRON
2019-01-07,11.8800,12.4200,11.7144,12.4000,12.4000,5250381,0.0000,1.0000,CRON
2019-01-04,11.8800,12.0999,11.6500,11.7800,11.7800,6284279,0.0000,1.0000,CRON
2019-01-03,11.3100,12.1900,11.0800,11.5400,11.5400,9190758,0.0000,1.0000,CRON
2019-01-02,10.2500,11.4400,10.2500,11.3100,11.3100,6345323,0.0000,1.0000,CRON
2018-12-31,10.6100,10.7227,10.2500,10.3900,10.3900,2837654,0.0000,1.0000,CRON
2018-12-28,10.4000,10.6700,10.0400,10.4200,10.4200,4141667,0.0000,1.0000,CRON
2018-12-27,10.1500,10.3200,9.8505,10.3200,10.3200,3541206,0.0000,1.0000,CRON
2018-12-26,10.2500,10.4000,9.8600,10.1800,10.1800,3875254,0.0000,1.0000,CRON
2018-12-24,9.6000,10.3850,9.5600,10.1000,10.1000,3454599,0.0000,1.0000,CRON
2018-12-21,11.3000,11.3900,10.0000,10.2100,10.2100,6911638,0.0000,1.0000,CRON
2018-12-20,11.2000,11.5868,10.6800,11.1300,11.1300,6238578,0.0000,1.0000,CRON
2018-12-19,11.5400,11.8100,11.0600,11.1700,11.1700,6066998,0.0000,1.0000,CRON
2018-12-18,11.2800,11.7200,11.0900,11.5400,11.5400,6173884,0.0000,1.0000,CRON
2018-12-17,11.1800,11.7300,10.9200,11.1300,11.1300,7125514,0.0000,1.0000,CRON
2018-12-14,11.1900,11.7362,11.0700,11.2800,11.2800,6335403,0.0000,1.0000,CRON
2018-12-13,11.8500,11.9900,11.0600,11.3800,11.3800,9850920,0.0000,1.0000,CRON
2018-12-12,12.8000,12.8100,11.8100,11.9200,11.9200,11365879,0.0000,1.0000,CRON
2018-12-11,12.9500,13.0600,12.5500,12.8200,12.8200,11225515,0.0000,1.0000,CRON
2018-12-10,12.9300,13.1500,12.2800,12.8800,12.8800,20064237,0.0000,1.0000,CRON
2018-12-07,13.5700,13.9500,12.3600,12.7200,12.7200,55482148,0.0000,1.0000,CRON
2018-12-06,9.9200,10.5650,9.7600,10.4500,10.4500,12016330,0.0000,1.0000,CRON
2018-12-04,10.9700,11.2000,10.3800,10.7400,10.7400,26371035,0.0000,1.0000,CRON
2018-12-03,9.2500,11.8900,8.5100,10.1700,10.1700,45161948,0.0000,1.0000,CRON
2018-11-30,8.8800,9.2200,8.6300,9.1500,9.1500,5552175,0.0000,1.0000,CRON
2018-11-29,8.6800,9.0000,8.4000,8.9100,8.9100,3900589,0.0000,1.0000,CRON
2018-11-28,8.3200,8.7000,8.3000,8.7000,8.7000,4339840,0.0000,1.0000,CRON
2018-11-27,8.2000,8.5585,8.0900,8.2900,8.2900,4093249,0.0000,1.0000,CRON
2018-11-26,8.8500,9.0400,8.2100,8.3300,8.3300,4924046,0.0000,1.0000,CRON
2018-11-23,8.5400,8.8600,8.4100,8.8100,8.8100,2680766,0.0000,1.0000,CRON
2018-11-21,8.3700,8.7500,8.3600,8.5300,8.5300,4122329,0.0000,1.0000,CRON
2018-11-20,7.8500,8.6738,7.7000,8.2000,8.2000,6192093,0.0000,1.0000,CRON
2018-11-19,8.6600,8.6600,8.0200,8.2400,8.2400,4327405,0.0000,1.0000,CRON
2018-11-16,8.5400,9.0800,8.4400,8.5600,8.5600,5829771,0.0000,1.0000,CRON
2018-11-15,7.9100,8.9099,7.8700,8.5900,8.5900,8854556,0.0000,1.0000,CRON
2018-11-14,8.0000,8.2300,7.5200,8.1200,8.1200,6759517,0.0000,1.0000,CRON
2018-11-13,7.7500,8.5500,7.5500,8.3100,8.3100,8481215,0.0000,1.0000,CRON
2018-11-12,8.7500,8.8400,7.9900,8.4500,8.4500,8335840,0.0000,1.0000,CRON
2018-11-09,8.8000,8.9300,8.4100,8.5500,8.5500,5777294,0.0000,1.0000,CRON
2018-11-08,9.5000,9.5800,8.8200,8.9400,8.9400,9214991,0.0000,1.0000,CRON
2018-11-07,9.5500,9.9500,8.7200,9.8100,9.8100,22898709,0.0000,1.0000,CRON
2018-11-06,8.2500,9.5800,8.1500,9.0500,9.0500,17357042,0.0000,1.0000,CRON
2018-11-05,8.0500,8.3200,7.7600,8.2500,8.2500,4725063,0.0000,1.0000,CRON
2018-11-02,7.7700,8.0750,7.5800,8.0600,8.0600,6923884,0.0000,1.0000,CRON
2018-11-01,7.6300,7.7700,7.2200,7.7000,7.7000,6241457,0.0000,1.0000,CRON
2018-10-31,7.2800,7.6285,7.1000,7.4200,7.4200,8298680,0.0000,1.0000,CRON
2018-10-30,6.5000,7.2629,6.5000,7.0500,7.0500,7104572,0.0000,1.0000,CRON
2018-10-29,7.9400,8.0399,6.6000,6.8000,6.8000,11982715,0.0000,1.0000,CRON
2018-10-26,7.8800,8.2200,7.7000,7.7800,7.7800,8332196,0.0000,1.0000,CRON
2018-10-25,7.7000,8.4800,7.6500,8.1100,8.1100,9625627,0.0000,1.0000,CRON
2018-10-24,8.6100,8.7400,7.6200,7.6300,7.6300,7567359,0.0000,1.0000,CRON
2018-10-23,7.6500,8.8800,7.5100,8.3400,8.3400,14152439,0.0000,1.0000,CRON
2018-10-22,9.6900,9.8800,8.2301,8.5200,8.5200,14205845,0.0000,1.0000,CRON
2018-10-19,10.9300,11.3200,9.6100,9.7100,9.7100,17006664,0.0000,1.0000,CRON
2018-10-18,10.7800,11.1600,10.4500,10.7200,10.7200,10604257,0.0000,1.0000,CRON
2018-10-17,10.7500,11.2000,10.1200,10.6500,10.6500,18999506,0.0000,1.0000,CRON
2018-10-16,12.9800,13.0000,10.9500,11.5200,11.5200,53570830,0.0000,1.0000,CRON
2018-10-15,10.4100,11.7500,10.0500,11.7400,11.7400,26412418,0.0000,1.0000,CRON
2018-10-12,9.3900,9.9000,9.3100,9.8600,9.8600,8508794,0.0000,1.0000,CRON
2018-10-11,9.4100,9.5100,8.9400,9.0500,9.0500,7953097,0.0000,1.0000,CRON
2018-10-10,9.4000,10.0800,8.6800,9.6000,9.6000,16072755,0.0000,1.0000,CRON
2018-10-09,9.5600,9.6000,9.3200,9.3400,9.3400,5809533,0.0000,1.0000,CRON
2018-10-08,9.3700,9.9300,9.3300,9.7000,9.7000,6234636,0.0000,1.0000,CRON
2018-10-05,10.2200,10.4200,9.4000,9.7700,9.7700,9418198,0.0000,1.0000,CRON
2018-10-04,10.6200,10.6699,9.9400,10.2200,10.2200,8406168,0.0000,1.0000,CRON
2018-10-03,10.7000,10.8400,10.2100,10.6900,10.6900,11372008,0.0000,1.0000,CRON
2018-10-02,11.1500,11.3200,10.6500,10.7200,10.7200,9977591,0.0000,1.0000,CRON
2018-10-01,11.9000,11.9900,11.0450,11.3200,11.3200,13351553,0.0000,1.0000,CRON
2018-09-28,10.8800,11.4000,10.8600,11.1200,11.1200,10970450,0.0000,1.0000,CRON
2018-09-27,11.0100,11.4700,10.8500,10.9400,10.9400,12005422,0.0000,1.0000,CRON
2018-09-26,11.5000,11.6000,10.8200,11.1300,11.1300,14686521,0.0000,1.0000,CRON
2018-09-25,12.2017,12.4000,11.3900,11.4700,11.4700,16341531,0.0000,1.0000,CRON
2018-09-24,11.8000,12.5500,11.6500,11.8600,11.8600,13661100,0.0000,1.0000,CRON
2018-09-21,13.2700,13.4800,12.2800,12.5100,12.5100,24915844,0.0000,1.0000,CRON
2018-09-20,13.3200,14.0000,12.7100,13.7500,13.7500,54639318,0.0000,1.0000,CRON
2018-09-19,12.9700,15.3000,11.6000,12.6900,12.6900,129502113,0.0000,1.0000,CRON
2018-09-18,10.5800,12.1416,10.4400,11.5600,11.5600,39679956,0.0000,1.0000,CRON
2018-09-17,10.6400,10.7000,10.0600,10.1800,10.1800,11247948,0.0000,1.0000,CRON
2018-09-14,9.3600,10.8200,9.2600,10.3800,10.3800,20704789,0.0000,1.0000,CRON
2018-09-13,11.3200,11.3700,10.0000,10.1100,10.1100,20753882,0.0000,1.0000,CRON
2018-09-12,11.8000,12.0300,10.7700,11.2700,11.2700,21845825,0.0000,1.0000,CRON
2018-09-11,11.9600,12.1600,11.6100,11.9900,11.9900,17828970,0.0000,1.0000,CRON
2018-09-10,12.3500,12.4600,11.8600,12.1000,12.1000,21122891,0.0000,1.0000,CRON
2018-09-07,11.4500,12.4400,11.2001,11.9900,11.9900,24086862,0.0000,1.0000,CRON
2018-09-06,11.9000,12.0000,10.9101,11.6200,11.6200,30731988,0.0000,1.0000,CRON
2018-09-05,13.1700,13.3900,11.3000,12.4500,12.4500,83070050,0.0000,1.0000,CRON
2018-09-04,10.9000,11.4100,10.6100,11.1500,11.1500,45906604,0.0000,1.0000,CRON
2018-08-31,8.8500,10.2900,8.5400,9.8800,9.8800,43594194,0.0000,1.0000,CRON
2018-08-30,12.0900,12.1500,8.8200,9.1200,9.1200,81548157,0.0000,1.0000,CRON
2018-08-29,12.0100,12.7900,11.5500,12.7400,12.7400,41523658,0.0000,1.0000,CRON
2018-08-28,11.6900,12.1600,10.3600,11.0800,11.0800,43406625,0.0000,1.0000,CRON
2018-08-27,11.8200,12.8900,11.5500,12.0400,12.0400,67986579,0.0000,1.0000,CRON
2018-08-24,8.9100,10.1000,8.8600,9.9400,9.9400,36067526,0.0000,1.0000,CRON
2018-08-23,8.1600,8.7200,8.0100,8.5400,8.5400,13458831,0.0000,1.0000,CRON
2018-08-22,8.0900,8.4490,7.6200,8.1600,8.1600,14323962,0.0000,1.0000,CRON
2018-08-21,8.2200,8.7800,7.7200,8.2900,8.2900,31970733,0.0000,1.0000,CRON
2018-08-20,6.7100,7.6700,6.6260,7.3200,7.3200,13292937,0.0000,1.0000,CRON
2018-08-17,6.3400,6.6900,6.2210,6.5400,6.5400,3043091,0.0000,1.0000,CRON
2018-08-16,6.3400,6.6400,6.1700,6.3200,6.3200,3221264,0.0000,1.0000,CRON
2018-08-15,6.0800,6.5500,5.8800,6.3800,6.3800,7531029,0.0000,1.0000,CRON
2018-08-14,5.9200,5.9500,5.6100,5.6500,5.6500,2619867,0.0000,1.0000,CRON
2018-08-13,6.0200,6.0200,5.6300,5.8300,5.8300,2175401,0.0000,1.0000,CRON
2018-08-10,6.0800,6.1000,5.9100,5.9600,5.9600,1248866,0.0000,1.0000,CRON
2018-08-09,5.9700,6.1000,5.8800,6.1000,6.1000,2104542,0.0000,1.0000,CRON
2018-08-08,5.6500,5.8500,5.6400,5.7700,5.7700,1289265,0.0000,1.0000,CRON
2018-08-07,5.8800,5.9500,5.6700,5.7200,5.7200,1875624,0.0000,1.0000,CRON
2018-08-06,5.8800,6.0400,5.8700,5.8800,5.8800,1307521,0.0000,1.0000,CRON
2018-08-03,5.9300,6.0800,5.8100,5.8600,5.8600,1432317,0.0000,1.0000,CRON
2018-08-02,5.7800,6.0600,5.7800,6.0200,6.0200,1484646,0.0000,1.0000,CRON
2018-08-01,6.2200,6.2900,5.7700,5.7800,5.7800,1754414,0.0000,1.0000,CRON
2018-07-31,5.8300,6.1700,5.6400,6.0500,6.0500,2407536,0.0000,1.0000,CRON
2018-07-30,6.2200,6.3350,5.8700,5.9200,5.9200,2347559,0.0000,1.0000,CRON
2018-07-27,6.1800,6.3000,6.1300,6.2300,6.2300,1341082,0.0000,1.0000,CRON
2018-07-26,6.2500,6.2889,6.1100,6.1400,6.1400,1578188,0.0000,1.0000,CRON
2018-07-25,6.2500,6.4040,6.1410,6.2900,6.2900,1411198,0.0000,1.0000,CRON
2018-07-24,6.5400,6.5400,6.1000,6.2700,6.2700,2575760,0.0000,1.0000,CRON
2018-07-23,6.5000,6.6800,6.4000,6.4600,6.4600,1930140,0.0000,1.0000,CRON
2018-07-20,6.7900,6.8400,6.5100,6.5400,6.5400,2031508,0.0000,1.0000,CRON
2018-07-19,6.7600,6.8400,6.6900,6.8300,6.8300,1175292,0.0000,1.0000,CRON
2018-07-18,6.9500,6.9800,6.7500,6.7800,6.7800,1270935,0.0000,1.0000,CRON
2018-07-17,6.7100,6.9300,6.5700,6.9200,6.9200,1694341,0.0000,1.0000,CRON
2018-07-16,7.1000,7.1000,6.6600,6.7300,6.7300,2145091,0.0000,1.0000,CRON
2018-07-13,7.1000,7.1000,6.9200,7.0600,7.0600,1577144,0.0000,1.0000,CRON
2018-07-12,7.0500,7.1200,6.9800,7.0500,7.0500,1668854,0.0000,1.0000,CRON
2018-07-11,6.9200,7.0500,6.8100,6.9700,6.9700,1363315,0.0000,1.0000,CRON
2018-07-10,6.9800,7.1900,6.9100,6.9800,6.9800,2409518,0.0000,1.0000,CRON
2018-07-09,6.9500,7.0700,6.9100,6.9500,6.9500,1902265,0.0000,1.0000,CRON
2018-07-06,6.9700,6.9800,6.7600,6.9600,6.9600,1364187,0.0000,1.0000,CRON
2018-07-05,6.8900,7.0000,6.8500,6.9700,6.9700,1673348,0.0000,1.0000,CRON
2018-07-03,6.9800,6.9800,6.6500,6.7800,6.7800,1705073,0.0000,1.0000,CRON
2018-07-02,6.6200,7.0407,6.5500,6.9600,6.9600,3169061,0.0000,1.0000,CRON
2018-06-29,6.5200,6.7400,6.4000,6.5200,6.5200,2744270,0.0000,1.0000,CRON
2018-06-28,6.3200,6.6000,6.2001,6.4200,6.4200,2982303,0.0000,1.0000,CRON
2018-06-27,6.6500,6.7700,6.0900,6.1800,6.1800,5461149,0.0000,1.0000,CRON
2018-06-26,6.9200,6.9800,6.6300,6.7900,6.7900,3740231,0.0000,1.0000,CRON
2018-06-25,7.3000,7.3000,6.8700,6.9000,6.9000,4233431,0.0000,1.0000,CRON
2018-06-22,7.7700,8.1100,7.1500,7.2400,7.2400,7541745,0.0000,1.0000,CRON
2018-06-21,7.2500,7.8534,7.2500,7.6700,7.6700,8154221,0.0000,1.0000,CRON
2018-06-20,7.2000,7.3990,6.8700,7.2200,7.2200,7029862,0.0000,1.0000,CRON
2018-06-19,6.7400,6.9800,6.5100,6.8600,6.8600,3766682,0.0000,1.0000,CRON
2018-06-18,6.9800,6.9800,6.7000,6.7800,6.7800,2722203,0.0000,1.0000,CRON
2018-06-15,6.8400,7.0486,6.8050,7.0200,7.0200,2307678,0.0000,1.0000,CRON
2018-06-14,7.0700,7.2900,6.8700,6.9300,6.9300,3434009,0.0000,1.0000,CRON
2018-06-13,6.7000,7.1800,6.6200,7.1200,7.1200,3996834,0.0000,1.0000,CRON
2018-06-12,6.9500,7.0300,6.6800,6.7700,6.7700,4475871,0.0000,1.0000,CRON
2018-06-11,7.2300,7.3200,6.9500,6.9600,6.9600,3861468,0.0000,1.0000,CRON
2018-06-08,7.5100,7.6100,6.7600,7.2300,7.2300,8499977,0.0000,1.0000,CRON
2018-06-07,8.0600,8.1500,7.4100,7.6600,7.6600,8993866,0.0000,1.0000,CRON
2018-06-06,7.1000,7.9300,6.9300,7.9300,7.9300,10186761,0.0000,1.0000,CRON
2018-06-05,7.0600,7.1500,6.7510,6.9900,6.9900,4523111,0.0000,1.0000,CRON
2018-06-04,6.9100,7.1500,6.6800,7.0000,7.0000,6192600,0.0000,1.0000,CRON
2018-06-01,6.2900,6.8400,6.2100,6.8400,6.8400,3420372,0.0000,1.0000,CRON
2018-05-31,6.4800,6.7400,6.1200,6.2400,6.2400,3243318,0.0000,1.0000,CRON
2018-05-30,6.0500,6.4100,5.9500,6.3800,6.3800,2758070,0.0000,1.0000,CRON
2018-05-29,6.0000,6.1200,5.8800,6.0200,6.0200,1572055,0.0000,1.0000,CRON
2018-05-25,6.1300,6.1790,5.9000,6.0100,6.0100,1895025,0.0000,1.0000,CRON
2018-05-24,6.2800,6.2800,6.0500,6.1300,6.1300,1609203,0.0000,1.0000,CRON
2018-05-23,6.2400,6.3000,6.1500,6.2100,6.2100,1561668,0.0000,1.0000,CRON
2018-05-22,6.6200,6.6400,6.1600,6.2400,6.2400,3414757,0.0000,1.0000,CRON
2018-05-21,6.2900,6.6800,6.2600,6.5700,6.5700,3754377,0.0000,1.0000,CRON
2018-05-18,5.7700,6.3300,5.7700,6.2300,6.2300,3616848,0.0000,1.0000,CRON
2018-05-17,6.0400,6.1400,5.7600,5.8000,5.8000,2382995,0.0000,1.0000,CRON
2018-05-16,6.3000,6.3400,6.0100,6.0400,6.0400,1835640,0.0000,1.0000,CRON
2018-05-15,6.6900,6.7500,6.0600,6.2700,6.2700,4269708,0.0000,1.0000,CRON
2018-05-14,6.2600,6.8500,6.2500,6.5600,6.5600,6234709,0.0000,1.0000,CRON
2018-05-11,5.6900,6.2500,5.6400,6.1200,6.1200,3350610,0.0000,1.0000,CRON
2018-05-10,5.6100,5.6399,5.5200,5.6000,5.6000,944706,0.0000,1.0000,CRON
2018-05-09,5.6800,5.7400,5.5000,5.5200,5.5200,1723300,0.0000,1.0000,CRON
2018-05-08,5.6100,5.7400,5.5000,5.5400,5.5400,1410391,0.0000,1.0000,CRON
2018-05-07,5.8800,5.9700,5.5800,5.6700,5.6700,2163610,0.0000,1.0000,CRON
2018-05-04,5.8900,6.0000,5.8550,5.8800,5.8800,1343338,0.0000,1.0000,CRON
2018-05-03,5.8300,6.0400,5.7900,5.8700,5.8700,1847320,0.0000,1.0000,CRON
2018-05-02,6.1200,6.1791,5.7500,5.8100,5.8100,2924969,0.0000,1.0000,CRON
2018-05-01,6.5000,6.6000,6.1000,6.2200,6.2200,3128290,0.0000,1.0000,CRON
2018-04-30,7.0000,7.1300,6.8700,6.9100,6.9100,1802504,0.0000,1.0000,CRON
2018-04-27,7.0300,7.0900,6.7500,6.8000,6.8000,1135619,0.0000,1.0000,CRON
2018-04-26,6.8900,7.0399,6.6601,6.9200,6.9200,978952,0.0000,1.0000,CRON
2018-04-25,7.0100,7.1400,6.8000,6.8800,6.8800,996025,0.0000,1.0000,CRON
2018-04-24,7.0000,7.2900,6.7800,7.0000,7.0000,1295672,0.0000,1.0000,CRON
2018-04-23,7.3300,7.3900,6.9900,7.0200,7.0200,1874476,0.0000,1.0000,CRON
2018-04-20,7.5200,7.6600,7.2500,7.3700,7.3700,2034962,0.0000,1.0000,CRON
2018-04-19,7.3000,7.5200,7.1800,7.4100,7.4100,1809794,0.0000,1.0000,CRON
2018-04-18,7.4400,7.5200,7.1700,7.3300,7.3300,1565077,0.0000,1.0000,CRON
2018-04-17,7.8000,7.9400,7.3000,7.4400,7.4400,2667450,0.0000,1.0000,CRON
2018-04-16,7.5000,7.8000,7.2000,7.7300,7.7300,4895438,0.0000,1.0000,CRON
2018-04-13,6.8100,7.4500,6.7700,7.1200,7.1200,5360193,0.0000,1.0000,CRON
2018-04-12,6.4000,6.7400,6.3800,6.6800,6.6800,1741514,0.0000,1.0000,CRON
2018-04-11,6.4000,6.6500,6.1500,6.3600,6.3600,2035204,0.0000,1.0000,CRON
2018-04-10,5.6800,6.5499,5.2600,6.3700,6.3700,3594675,0.0000,1.0000,CRON
2018-04-09,5.7000,5.8000,5.5000,5.5700,5.5700,1757953,0.0000,1.0000,CRON
2018-04-06,5.8200,6.1290,5.5800,5.6300,5.6300,2145228,0.0000,1.0000,CRON
2018-04-05,5.9600,6.0000,5.6400,5.9000,5.9000,2112045,0.0000,1.0000,CRON
2018-04-04,5.5000,5.7000,5.1200,5.6000,5.6000,3688435,0.0000,1.0000,CRON
2018-04-03,6.3100,6.4800,5.6000,5.6000,5.6000,2336468,0.0000,1.0000,CRON
2018-04-02,6.7300,6.7300,6.1500,6.2500,6.2500,1853904,0.0000,1.0000,CRON
2018-03-29,6.5400,6.9700,6.4500,6.7300,6.7300,1423012,0.0000,1.0000,CRON
2018-03-28,6.9600,7.0400,6.3445,6.5100,6.5100,2223728,0.0000,1.0000,CRON
2018-03-27,7.5100,7.5400,6.9300,7.0300,7.0300,1530809,0.0000,1.0000,CRON
2018-03-26,7.5500,7.6500,7.3800,7.4600,7.4600,1060165,0.0000,1.0000,CRON
2018-03-23,7.8800,7.9400,7.3800,7.4700,7.4700,2062969,0.0000,1.0000,CRON
2018-03-22,7.4700,7.5500,7.3000,7.3900,7.3900,3123769,0.0000,1.0000,CRON
2018-03-21,8.3400,8.4690,7.9700,8.0000,8.0000,1624240,0.0000,1.0000,CRON
2018-03-20,9.0800,9.0800,8.0900,8.1900,8.1900,3217516,0.0000,1.0000,CRON
2018-03-19,8.1200,8.7500,8.1000,8.7500,8.7500,6653309,0.0000,1.0000,CRON
2018-03-16,8.1700,8.1700,7.8100,7.8200,7.8200,2196069,0.0000,1.0000,CRON
2018-03-15,8.4900,8.5700,8.0000,8.1300,8.1300,1950670,0.0000,1.0000,CRON
2018-03-14,8.6200,8.6300,8.2510,8.4000,8.4000,1757345,0.0000,1.0000,CRON
2018-03-13,8.9000,9.0588,8.5500,8.6300,8.6300,1962831,0.0000,1.0000,CRON
2018-03-12,9.3000,9.3200,8.6600,8.7500,8.7500,3338103,0.0000,1.0000,CRON
2018-03-09,9.7100,9.7590,9.2600,9.3200,9.3200,2069704,0.0000,1.0000,CRON
2018-03-08,9.8900,9.9500,9.0900,9.5400,9.5400,3232248,0.0000,1.0000,CRON
2018-03-07,9.8300,9.9400,9.5500,9.8100,9.8100,3160328,0.0000,1.0000,CRON
2018-03-06,10.2200,10.3900,9.8000,9.9100,9.9100,5337725,0.0000,1.0000,CRON
2018-03-05,9.6700,10.2500,9.4600,9.7700,9.7700,6488174,0.0000,1.0000,CRON
2018-03-02,9.5000,9.7000,9.2500,9.4000,9.4000,3325109,0.0000,1.0000,CRON
2018-03-01,9.1800,10.0500,8.5200,9.6900,9.6900,11858755,0.0000,1.0000,CRON
2018-02-28,7.7500,9.1700,7.3348,9.1700,9.1700,9875396,0.0000,1.0000,CRON
2018-02-27,8.2400,8.3800,7.1700,7.6200,7.6200,2801027,0.0000,1.0000,CRON
2018-02-26,7.5500,7.7900,7.2751,7.7602,7.7602,999385,0.0000,1.0000,CRON
2018-02-23,7.2000,7.2100,6.8100,7.0113,7.0113,344594,0.0000,1.0000,CRON
2018-02-22,7.3300,7.3300,7.0950,7.2023,7.2023,186211,0.0000,1.0000,CRON
2018-02-21,7.3560,7.5000,7.1430,7.1800,7.1800,218727,0.0000,1.0000,CRON
2018-02-20,7.2350,7.5406,7.1400,7.4145,7.4145,311868,0.0000,1.0000,CRON
2018-02-16,7.4000,7.5634,7.1800,7.2200,7.2200,312640,0.0000,1.0000,CRON
2018-02-15,7.8400,7.8840,7.5448,7.6837,7.6837,336239,0.0000,1.0000,CRON
2018-02-14,7.5000,8.0000,7.2945,7.9900,7.9900,453683,0.0000,1.0000,CRON
2018-02-13,7.4550,7.5400,7.1500,7.4400,7.4400,293113,0.0000,1.0000,CRON
2018-02-12,7.5800,7.6190,7.2932,7.3686,7.3686,363342,0.0000,1.0000,CRON
2018-02-09,7.5100,7.6400,6.9700,7.3400,7.3400,592323,0.0000,1.0000,CRON
2018-02-08,7.2350,7.7044,6.9500,7.5442,7.5442,400430,0.0000,1.0000,CRON
2018-02-07,7.9900,8.3749,6.9000,7.2310,7.2310,1106167,0.0000,1.0000,CRON
2018-02-06,6.1300,7.6000,5.9900,7.5212,7.5212,1196473,0.0000,1.0000,CRON
2018-02-05,4.8170,6.7615,4.7500,5.9196,5.9196,1712607,0.0000,1.0000,CRON
2018-02-02,6.2500,6.4100,5.3071,5.5128,5.5128,1598639,0.0000,1.0000,CRON
2018-02-01,7.3103,7.5900,6.4827,6.5000,6.5000,788788,0.0000,1.0000,CRON
2018-01-31,6.8260,8.0062,6.8071,7.3530,7.3530,697833,0.0000,1.0000,CRON
2018-01-30,7.2500,7.4700,6.5000,6.8190,6.8190,1119703,0.0000,1.0000,CRON
2018-01-29,8.3920,8.4505,7.5100,7.5358,7.5358,696277,0.0000,1.0000,CRON
2018-01-26,7.9550,8.2500,7.7300,8.1840,8.1840,693729,0.0000,1.0000,CRON
